text,date,key_rate,future_key_rate,target
"  Совет директоров Банка России 22 марта 2024 года принял решение сохранить ключевую ставку на уровне 16,00% годовых. Текущее инфляционное давление постепенно ослабевает, но остается высоким. Внутренний спрос продолжает значительно опережать возможности расширения производства товаров и услуг. Жесткость рынка труда вновь усилилась. Пока преждевременно судить о дальнейшей скорости дезинфляционных тенденций. Проводимая Банком России денежно-кредитная политика закрепит процесс дезинфляции в экономике. Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике. Согласно прогнозу Банка России, c учетом проводимой денежно-кредитной политики годовая инфляция снизится до 4,0–4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем. Текущий рост цен с поправкой на сезонность в феврале оставался на уровне января, а в марте, по предварительным данным, снижается. Тенденции в разрезе потребительской корзины различались: значимое замедление роста цен на товары сопровождалось ускорением в услугах. Показатель годовой инфляции пока сохраняется на уровне февраля и, по оценке на 18 марта, составил 7,7%. Хотя денежно-кредитные условия продолжают ужесточаться, высокий внутренний спрос способствует сохранению повышенного инфляционного давления. Большинство устойчивых показателей текущего роста цен, по оценке Банка России, находятся в диапазоне 6–7% в пересчете на год. Показатель базовой инфляции с поправкой на сезонность в феврале увеличился до 7,7% в пересчете на год (после 6,8% в январе). Это связано с удорожанием услуг зарубежного туризма. С их исключением базовая инфляция существенно не изменилась. Инфляционные ожидания населения и ценовые ожидания предприятий продолжили снижаться. Однако они по-прежнему остаются на повышенных уровнях. Это определяет инерцию текущего повышенного роста цен. Оперативные индикаторы указывают на то, что в I квартале 2024 года российская экономика продолжает быстро расти. Потребительская активность остается высокой на фоне существенного роста доходов населения и уверенных потребительских настроений. Данные опросов предприятий свидетельствуют о сохранении высокого инвестиционного спроса. Отклонение российской экономики вверх от траектории сбалансированного роста остается значительным.  Дефицит трудовых ресурсов — главное ограничение для расширения выпуска товаров и услуг. При этом жесткость рынка труда вновь усилилась. Безработица обновила исторический минимум.  Денежно-кредитные условия ужесточаются вслед за повышением ключевой ставки во второй половине 2023 года. Продолжается рост номинальных и реальных процентных ставок в различных сегментах финансового рынка. Сохраняется стабильный приток средств населения на срочные депозиты. С начала года замедлился рост корпоративного и ипотечного кредитования. Вместе с тем в розничном сегменте наблюдалось ускорение необеспеченного потребительского кредитования. Возросшие доходы позволяют населению одновременно наращивать сбережения и потребление. В динамике кредитования эффекты от предыдущих повышений ключевой ставки продолжат нарастать в ближайшие месяцы. Дополнительное ужесточение условий банковского кредитования будет происходить в результате действия ряда макропруденциальных мер и отмены большинства регуляторных послаблений для банков.  На среднесрочном горизонте баланс рисков для инфляции остается смещенным в сторону проинфляционных. Основные проинфляционные риски связаны с изменением условий внешней торговли (в том числе под влиянием геополитической напряженности), с сохранением высоких инфляционных ожиданий, с усилением отклонения российской экономики вверх от траектории сбалансированного роста, а также с траекторией нормализации бюджетной политики. Дезинфляционные риски в первую очередь связаны с более быстрым замедлением роста внутреннего спроса, чем ожидается в базовом сценарии.  1 апреля 2024 года Банк России опубликует Резюме обсуждения ключевой ставки.   Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос об уровне ключевой ставки, запланировано на 26 апреля 2024 года. Время публикации пресс-релиза о решении Совета директоров Банка России и среднесрочного прогноза — 13:30 по московскому времени.    Заявление Председателя Банка России Эльвиры Набиуллиной по итогам заседания Совета директоров Банка России 22 марта 2024 года При использовании материала ссылка на Пресс-службу Банка России обязательна.",2024-03-22,16.0,,
"  Совет директоров Банка России 16 февраля 2024 года принял решение сохранить ключевую ставку на уровне 16,00% годовых. Текущее инфляционное давление снизилось по сравнению с осенними месяцами, но остается высоким. Внутренний спрос продолжает значительно опережать возможности расширения производства товаров и услуг. Судить об устойчивости складывающихся дезинфляционных тенденций преждевременно. Проводимая Банком России денежно-кредитная политика закрепит процесс дезинфляции в экономике. Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике. Согласно прогнозу Банка России, c учетом проводимой денежно-кредитной политики годовая инфляция снизится до 4,0–4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем. В среднем за декабрь — январь текущий рост цен с поправкой на сезонность снизился до 6,6% в пересчете на год (по сравнению с 11,5% в осенние месяцы). Аналогичный показатель базовой инфляции уменьшился до 7,0% в пересчете на год (по сравнению с 10,2% в осенние месяцы). Это во многом отражает постепенно нарастающие эффекты от ужесточения денежно-кредитной политики. Показатель годовой инфляции пока сохраняется вблизи уровней декабря 2023 года за счет эффекта базы и, по оценке на 12 февраля, составил 7,4%. Инфляционные ожидания населения уменьшились с начала текущего года, приблизившись к уровням III квартала 2023 года. Снизились и ценовые ожидания предприятий. Однако инфляционные ожидания по-прежнему остаются на повышенных уровнях. Это определяет инерцию текущего повышенного роста цен. Рост российской экономики на 3,6% в 2023 году был выше, чем Банк России прогнозировал ранее. С учетом повышенного инфляционного давления это свидетельствует о том, что внутренний спрос продолжает значительно опережать возможности расширения производства товаров и услуг. В то же время растущая склонность населения к сбережению, замедление роста потребительской активности, охлаждение спроса на импорт начинают создавать условия для возвращения экономики к сбалансированному росту. Этот процесс займет продолжительное время. Дефицит трудовых ресурсов остается главным ограничением для расширения выпуска товаров и услуг. Оперативные индикаторы, включая опросы предприятий, свидетельствуют о том, что жесткость рынка труда остается высокой, хотя и перестала расти в ряде отраслей. Денежно-кредитные условия ужесточаются вслед за повышением ключевой ставки во второй половине 2023 года. Продолжается рост номинальных и реальных процентных ставок в различных сегментах финансового рынка. Сохраняется стабильный приток средств населения на срочные депозиты. Существенно снизилась активность на рынке необеспеченного потребительского кредитования и в рыночном сегменте ипотечного кредитования. Первые признаки замедления демонстрирует корпоративное кредитование. Ужесточение ряда макропруденциальных мер и отмена большинства регуляторных послаблений для банков также вносят вклад в ужесточение условий банковского кредитования. Это окажет дополнительное сдерживающее влияние на динамику кредитования в 2024 году. В то же время высокими остаются выдачи ипотечных кредитов в рамках государственных льготных программ. На среднесрочном горизонте баланс рисков для инфляции остается смещенным в сторону проинфляционных. Основные проинфляционные риски связаны с изменением условий внешней торговли (в том числе под влиянием геополитической напряженности), с сохранением высоких инфляционных ожиданий, с усилением отклонения российской экономики вверх от траектории сбалансированного роста, а также с траекторией нормализации бюджетной политики. Дезинфляционные риски в первую очередь связаны с более быстрым замедлением роста внутреннего спроса, чем ожидается в базовом сценарии. По итогам заседания Совета директоров по ключевой ставке 16 февраля 2024 года Банк России опубликовал среднесрочный прогноз. 27 февраля 2024 года Банк России опубликует Резюме обсуждения ключевой ставки и Комментарий к среднесрочному прогнозу. Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос об уровне ключевой ставки, запланировано на 22 марта 2024 года. Время публикации пресс-релиза о решении Совета директоров Банка России — 13:30 по московскому времени.   Заявление Председателя Банка России Эльвиры Набиуллиной по итогам заседания Совета директоров Банка России 16 февраля 2024 года При использовании материала ссылка на Пресс-службу Банка России обязательна.",2024-02-16,16.0,16.0,0.0
"  Совет директоров Банка России 15 декабря 2023 года принял решение повысить ключевую ставку на 100 б.п., до 16,00% годовых. Текущее инфляционное давление остается высоким. По итогам 2023 года годовая инфляция ожидается вблизи верхней границы прогнозного диапазона 7,0–7,5%. При этом рост ВВП в 2023 году, по оценке Банка России, сложится выше октябрьского прогноза и превысит 3%. Это означает, что отклонение российской экономики вверх от траектории сбалансированного роста во втором полугодии 2023 года оказалось более значительным, чем Банк России оценивал в октябре. В отдельных сегментах кредитного рынка появились признаки замедления активности, однако общие темпы роста кредитования по-прежнему остаются высокими. Повысились инфляционные ожидания населения и ценовые ожидания предприятий. Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике. Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Согласно прогнозу Банка России, c учетом проводимой денежно-кредитной политики годовая инфляция снизится до 4,0–4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем. Динамика инфляции. Текущее инфляционное давление остается высоким. В среднем за октябрь — ноябрь рост цен с поправкой на сезонность составил 10,0% в пересчете на год (по сравнению с 12,2% в III квартале). Годовая инфляция, по оценке на 11 декабря, снизилась до 7,1% после 7,5% в ноябре. Это связано с эффектом высокой базы начала декабря 2022 года, когда произошла внеплановая индексация тарифов на коммунальные услуги. По итогам 2023 года годовая инфляция ожидается вблизи верхней границы прогнозного диапазона 7,0–7,5%. Устойчивое инфляционное давление в последние месяцы усилилось. Это объясняется более быстрым ростом внутреннего спроса по сравнению с возможностями расширения выпуска товаров и услуг, чем Банк России оценивал ранее. Об этом свидетельствуют данные о динамике экономической активности во втором полугодии 2023 года, включая оперативные данные за IV квартал. В среднем за октябрь — ноябрь показатель базовой инфляции с поправкой на сезонность увеличился до 11,5% в пересчете на год (по сравнению с 9,7% в III квартале). Некоторый вклад в текущий рост цен в последние месяцы также внесли разовые проинфляционные эффекты на отдельных товарных рынках. Инфляционные ожидания населения и ценовые ожидания предприятий повысились. Инфляционные ожидания профессиональных аналитиков остаются выше цели по инфляции на 2024 год, но на среднесрочную перспективу они заякорены вблизи 4%. Согласно прогнозу Банка России, с учетом проводимой денежно-кредитной политики годовая инфляция снизится до 4,0–4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем. Денежно-кредитные условия в целом продолжили ужесточаться вслед за повышением ключевой ставки в июле—октябре. Краткосрочные ставки финансового рынка повысились в связи с пересмотром вверх участниками рынка ожидаемой траектории ключевой ставки. На рынке государственного долга средне- и долгосрочные доходности существенно не изменились. Продолжился рост процентных ставок на кредитно-депозитном рынке. Вслед за ростом депозитных ставок увеличился приток средств населения в кредитные организации, в том числе за счет возврата части наличных денег на банковские счета. Одновременно продолжился переток средств с текущих счетов на срочные депозиты. В отдельных сегментах кредитного рынка появились признаки замедления активности, однако общие темпы роста кредитования по-прежнему остаются высокими. Замедление необеспеченного потребительского кредитования в последние месяцы происходило в результате как увеличения процентных ставок, так и эффектов ранее принятых макропруденциальных мер. Также замедлилась активность в рыночном сегменте ипотечного кредитования, хотя темпы роста всего ипотечного портфеля были высокими из-за большого объема выдач в рамках государственных льготных программ. Особенно высокой оставалась активность в корпоративном сегменте, где темпы роста кредитования складываются выше октябрьского прогноза Банка России. Повышенный спрос корпоративного сектора на кредиты поддерживается как высокими ценовыми ожиданиями, так и ожиданиями относительно будущей динамики внутреннего спроса. Экономическая активность. Рост ВВП в III квартале и оперативные данные за IV квартал свидетельствуют о том, что увеличение экономической активности происходит существенно быстрее, чем Банк России ожидал в октябре. Это означает, что отклонение российской экономики вверх от траектории сбалансированного роста во втором полугодии 2023 года оказалось более значительным. Это нашло отражение в показателях текущего роста цен. По оценке Банка России, рост ВВП в 2023 году сложится выше октябрьского прогноза и превысит 3%. Основной вклад в отклонение российской экономики вверх от траектории сбалансированного роста внес внутренний спрос. Его рост происходит за счет расширения частного спроса при сохранении государственного спроса на высоком уровне. Увеличение потребительской активности поддерживается ростом реальных заработных плат и кредитованием. Значительный рост прибыли компаний и позитивные деловые настроения, в том числе из-за бюджетных стимулов, поддерживают высокий инвестиционный спрос. Оперативные данные по внешней торговле указывают на то, что импорт несколько снизился по сравнению с пиковыми значениями летних месяцев, в том числе за счет эффектов произошедшего ужесточения денежно-кредитной политики. В то же время снижение экспорта в последние месяцы было более выраженным из-за ухудшения конъюнктуры мировых рынков энергоносителей. В ближайшие кварталы спрос на импорт в рублевом выражении продолжит подстраиваться к уже принятым решениям по ключевой ставке. На текущем этапе ключевое ограничение на стороне предложения в российской экономике связано с состоянием рынка труда. Согласно данным опросов предприятий, дефицит свободных трудовых ресурсов остается значительным, особенно в обрабатывающих отраслях. Безработица вновь обновила исторический минимум. Невысокая географическая и межотраслевая мобильность рабочей силы является дополнительным структурным ограничением. Инфляционные риски. На среднесрочном горизонте проинфляционные риски остаются существенными. В базовом сценарии Банк России исходит из уже принятых решений Правительства по среднесрочной траектории расходов федерального бюджета и бюджетной системы в целом. В случае дополнительного расширения бюджетного дефицита проинфляционные риски вновь возрастут и может потребоваться более жесткая денежно-кредитная политика для возвращения инфляции к цели в 2024 году и ее поддержания вблизи 4% в дальнейшем. Значимым риском является сохранение инфляционных ожиданий на повышенных уровнях или их дальнейший рост. В этом случае кредитование будет продолжать расширяться ускоренными темпами, а склонность населения к сбережению — снижаться. Как следствие, рост внутреннего спроса будет продолжать опережать возможности расширения предложения и усиливать устойчивое инфляционное давление в экономике. В условиях же ограниченности свободных трудовых ресурсов рост производительности труда может сильнее отставать от роста реальных заработных плат. Проинфляционные риски связаны и с влиянием геополитической напряженности на условия внешней торговли. Усиление внешних торговых и финансовых ограничений может дополнительно ослабить спрос на товары российского экспорта и иметь проинфляционное влияние через динамику валютного курса. Кроме того, усложнение производственных и логистических цепочек или финансовых расчетов в результате внешних ограничений может привести к удорожанию импорта. Значимые краткосрочные проинфляционные эффекты может также иметь ухудшение перспектив роста мировой экономики и усиление волатильности на мировых товарных и финансовых рынках. Дезинфляционные риски в первую очередь связаны с более быстрым замедлением внутреннего спроса под влиянием уже реализованного ужесточения денежно-кредитной политики. Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике. Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос об уровне ключевой ставки, запланировано на 16 февраля 2024 года. Время публикации пресс-релиза о решении Совета директоров Банка России и среднесрочного прогноза — 13:30 по московскому времени.   Заявление Председателя Банка России Эльвиры Набиуллиной по итогам заседания Совета директоров Банка России 15 декабря 2023 года При использовании материала ссылка на Пресс-службу Банка России обязательна.",2023-12-15,15.0,16.0,1.0
"  Совет директоров Банка России 27 октября 2023 года принял решение повысить ключевую ставку на 200 б.п., до 15,00% годовых. Текущее инфляционное давление значительно усилилось и складывается выше ожиданий Банка России. Устойчивое увеличение внутреннего спроса все больше превышает возможности расширения производства товаров и услуг. Инфляционные ожидания сохраняются на повышенных уровнях. Высокими остаются темпы роста кредитования. Исходя из новых среднесрочных параметров бюджетной политики, снижение бюджетного стимула в ближайшие годы будет происходить медленнее, чем ожидалось ранее. В этих условиях требуется обеспечить дополнительное ужесточение денежно-кредитной политики для ограничения масштаба отклонения инфляции вверх от цели и ее возвращения к 4% в 2024 году. Возвращение инфляции к цели и ее дальнейшая стабилизация вблизи 4% также предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике. Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Согласно обновленному прогнозу Банка России, по итогам 2023 года годовая инфляция сложится в диапазоне 7,0–7,5%. С учетом проводимой денежно-кредитной политики годовая инфляция снизится до 4,0–4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем. Динамика инфляции. Текущее инфляционное давление значительно усилилось и складывается выше ожиданий Банка России. В среднем за III квартал рост цен с поправкой на сезонность составил 12,1% в пересчете на год (по сравнению с 5,1% в II квартале). Аналогичный показатель базовой инфляции увеличился до 9,6% (по сравнению с 5,7% в II квартале). Годовая инфляция, по оценке на 23 октября, повысилась до 6,6% после 6,0% в сентябре. Рост инфляционного давления проявляется по все более широкому кругу товаров и услуг. Это означает, что устойчивое увеличение внутреннего спроса все больше превышает возможности расширения производства товаров и услуг. В этих условиях предприятиям легче переносить в цены возросшие издержки, связанные в том числе с ослаблением рубля и дефицитом свободных трудовых ресурсов. Инфляционные ожидания населения сохраняются на повышенном уровне. Ценовые ожидания предприятий продолжили расти, достигнув исторически высоких значений. Также вновь повысились инфляционные ожидания профессиональных аналитиков на 2023 и 2024 годы, но на среднесрочную перспективу они заякорены вблизи 4%. Согласно обновленному прогнозу Банка России, по итогам 2023 года годовая инфляция сложится в диапазоне 7,0–7,5%. С учетом проводимой денежно-кредитной политики годовая инфляция снизится до 4,0–4,5% в 2024 году и будет находиться вблизи 4% в дальнейшем. Денежно-кредитные условия продолжили ужесточаться вслед за повышением ключевой ставки в июле — сентябре. С момента сентябрьского заседания Совета директоров Банка России выросли процентные ставки на кредитно-депозитном рынке, а также доходности ОФЗ. Форма кривой ОФЗ остается плоской, что указывает на умеренную жесткость текущих денежно-кредитных условий. Доходности ОФЗ на среднем и длинном участках кривой увеличились в том числе в результате пересмотра участниками рынка проинфляционных рисков, связанных со смягчением среднесрочных параметров бюджетной политики. Вслед за ростом депозитных ставок увеличился приток средств населения в кредитные организации, в том числе за счет возврата части наличных денег на банковские счета. Одновременно продолжился переток средств с текущих счетов на срочные депозиты. Вместе с тем рост номинальных процентных ставок пока в разной степени отразился на динамике кредитования. Замедлился рост необеспеченного потребительского кредитования. Это связано как с меньшими лагами трансмиссии решений по денежно-кредитной политике в этом сегменте рынка, так и с эффектами ранее принятых макропруденциальных мер. Высокими темпами продолжало расти ипотечное кредитование, в том числе из-за большого объема выдач в рамках государственных программ льготного кредитования. При повышенных инфляционных ожиданиях и неизменных уровнях номинальных ставок такие программы становятся более привлекательными для заемщиков. Высокой оставалась кредитная активность и в корпоративном сегменте, в том числе вследствие ожиданий будущих выплат по госконтрактам. Принятое Банком России решение по ключевой ставке ускорит формирование денежно-кредитных условий, необходимых для сбалансированного роста кредитования и обеспечения устойчивых дезинфляционных тенденций в экономике. Это в том числе означает, что в 2024 году проинфляционный эффект от более высокого бюджетного стимула на внутренний спрос будет компенсирован меньшим кредитным импульсом. В базовом сценарии Банк России прогнозирует замедление темпов прироста требований банковской системы к экономике до 5–10% в 2024 году с 17–20% в 2023 году. Экономическая активность. Оперативные данные за III квартал свидетельствуют о том, что рост экономической активности происходит быстрее, чем Банк России ожидал в сентябре. В условиях высокого внутреннего спроса нарастает отклонение российской экономики вверх от траектории сбалансированного роста. Это усиливает устойчивое инфляционное давление в экономике. Уверенный рост внутреннего спроса происходит за счет расширения частного спроса при сохранении государственного спроса на высоком уровне и ожидаемом дополнительном увеличении бюджетного стимула. Увеличение потребительской активности поддерживается ростом реальных заработных плат и высокими темпами кредитования. Значительный рост прибыли компаний и позитивные деловые настроения, в том числе из-за бюджетных стимулов, поддерживают высокий инвестиционный спрос. Расширение внутреннего спроса проявляется в том числе в сохранении повышенного спроса на импорт, что внесло существенный вклад в ослабление рубля с начала 2023 года. При этом оперативные данные по внешней торговле указывают на то, что импорт стабилизировался. В ближайшие кварталы спрос на импорт в рублевом выражении продолжит подстраиваться к уже принятым решениям по ключевой ставке. Помимо внешних санкций на импорт, ключевое ограничение на стороне предложения в российской экономике связано с состоянием рынка труда. Согласно данным опросов предприятий, дефицит свободных трудовых ресурсов продолжает усиливаться. Безработица вновь обновила исторический минимум. Невысокая географическая и межотраслевая мобильность рабочей силы является дополнительным структурным ограничением. Проводимая Банком России денежно-кредитная политика создаст условия для возвращения экономики на траекторию сбалансированного роста. В базовом сценарии Банк России прогнозирует, что темп прироста ВВП составит 2,2–2,7% в 2023 году, 0,5–1,5% в 2024 году, 1,0–2,0% в 2025 году и 1,5–2,5% в 2026 году. Инфляционные риски. На среднесрочном горизонте проинфляционные риски остаются существенными. В обновленном базовом сценарии Банк России исходит из уже принятых решений Правительства по среднесрочной траектории расходов федерального бюджета и бюджетной системы в целом. В случае дополнительного расширения бюджетного дефицита проинфляционные риски вновь возрастут, и может потребоваться более жесткая денежно-кредитная политика для возвращения инфляции к цели в 2024 году и ее поддержания вблизи 4% в дальнейшем. Значимым риском является сохранение инфляционных ожиданий на повышенных уровнях или их дальнейший рост. В этом случае кредитование будет продолжать расширяться ускоренными темпами, а склонность населения к сбережению — снижаться. Как следствие, рост внутреннего спроса будет продолжать опережать возможности расширения предложения и усиливать устойчивое инфляционное давление в экономике. В условиях же ограниченности свободных трудовых ресурсов рост производительности труда может сильнее отставать от роста реальных заработных плат. Проинфляционные риски связаны и с влиянием геополитической напряженности на условия внешней торговли. Усиление внешних торговых и финансовых ограничений может дополнительно ослабить спрос на товары российского экспорта и иметь проинфляционное влияние через динамику валютного курса. Кроме того, усложнение производственных и логистических цепочек или финансовых расчетов в результате внешних ограничений может привести к удорожанию импорта. Значимые краткосрочные проинфляционные эффекты может также иметь ухудшение перспектив роста мировой экономики и дальнейшее усиление волатильности на мировых финансовых рынках. Дезинфляционные риски в первую очередь связаны с более быстрым замедлением роста внутреннего спроса, чем ожидается в базовом сценарии. Кроме того, рост цен на основные товары российского экспорта или увеличение физических объемов экспортных поставок могут привести к более крепкому курсу рубля. Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике. Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. По итогам заседания Совета директоров по ключевой ставке 27 октября 2023 года Банк России опубликовал среднесрочный прогноз. Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос об уровне ключевой ставки, запланировано на 15 декабря 2023 года. Время публикации пресс-релиза о решении Совета директоров Банка России — 13:30 по московскому времени.   Заявление Председателя Банка России Эльвиры Набиуллиной по итогам заседания Совета директоров Банка России 27 октября 2023 года При использовании материала ссылка на Пресс-службу Банка России обязательна.",2023-10-27,13.0,15.0,1.0
